Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14087624,3167036,3167036,10920588,383317,351676,54712,6089241,406920,
14155624,3203484,3203484,10952140,383317,351676,86264,6089241,406920,
14113016,3191088,3191088,10921928,383317,351676,56072,6089241,406920,
14160048,3200284,3200212,10959764,383317,351676,93880,6089241,406928,
14184240,3214252,3214252,10969988,383317,351676,104112,6089241,406920,
14194256,3224220,3224220,10970036,383317,351676,104048,6089241,406920,
14148888,3196908,3196908,10951980,383317,351676,85992,6089241,406920,
14136848,3204996,3204996,10931852,383317,351676,65864,6089241,406920,
14119664,3189004,3188932,10930660,383317,351676,64776,6089241,406928,
14132904,3194624,3194552,10938280,383317,351676,72392,6089241,406928,
14178656,3208592,3208592,10970064,383317,351676,104096,6089241,406920,
14195400,3225336,3225336,10970064,383317,351676,104096,6089241,406920,
14124808,3195404,3195404,10929404,383317,351676,63416,6089241,406920,
14177224,3207444,3207444,10969780,383317,351676,103760,6089241,406928,
14147416,3195720,3195648,10951696,383317,351676,85720,6089241,406928,
14177184,3207444,3207300,10969740,383317,351676,103752,6089241,406920,
14153448,3201468,3201468,10951980,383317,351676,85992,6089241,406920,
14135680,3203828,3203828,10931852,383317,351676,65864,6089241,406920,
14126104,3195068,3195068,10931036,383317,351676,65048,6089241,406920,
14180912,3211156,3211060,10969756,383317,351676,103760,6089241,406920,
14188248,3218212,3218212,10970036,383317,351676,104048,6089241,406920,
14197840,3227804,3227804,10970036,383317,351676,104048,6089241,406920,
14123192,3192956,3192956,10930236,383317,351676,64240,6089241,407040,
14188656,3218964,3218964,10969692,383317,351676,103760,6089241,406976,
14196176,3226116,3226116,10970060,383317,351676,104128,6089241,406976,
14199368,3229308,3229308,10970060,383317,351676,104128,6089241,406976,
14126744,3196572,3196572,10930172,383317,351676,64240,6089241,406976,
14180752,3211060,3211060,10969692,383317,351676,103760,6089241,406976,
14192224,3222164,3222164,10970060,383317,351676,104128,6089241,406976,
14124008,3202972,3202972,10921036,383317,351676,54992,6089241,406976,
14175968,3215764,3215764,10960204,383317,351676,94160,6089241,406976,
14189888,3219716,3219716,10970172,383317,351676,104128,6089241,406976,
14199480,3229308,3229308,10970172,383317,351676,104128,6089241,406976,
14151408,3211060,3211060,10940348,383317,351676,74304,6089241,406976,
14193840,3223668,3223668,10970172,383317,351676,104128,6089241,406976,
14203432,3233260,3233260,10970172,383317,351676,104128,6089241,406976,
14117408,3194468,3194468,10922940,383317,351676,56896,6089241,406976,
14174608,3213316,3213316,10961292,383317,351676,95248,6089241,406976,
14193840,3223668,3223668,10970172,383317,351676,104128,6089241,406976,
14202032,3231852,3231756,10970180,383317,351676,104128,6089241,406976,
14148960,3208612,3208612,10940348,383317,351676,74304,6089241,406976,
14200240,3230068,3230068,10970172,383317,351676,104128,6089241,406976,
14209832,3239660,3239660,10970172,383317,351676,104128,6089241,406976,
14123376,3200524,3200524,10922852,383317,351676,56896,6089241,406976,
14174520,3213316,3213316,10961204,383317,351676,95248,6089241,406976,
14192248,3222164,3222164,10970084,383317,351676,104128,6089241,406976,
14205792,3235708,3235708,10970084,383317,351676,104128,6089241,406976,
14152824,3212564,3212564,10940260,383317,351676,74304,6089241,406976,
14200152,3230068,3230068,10970084,383317,351676,104128,6089241,406976,
14203344,3233260,3233260,10970084,383317,351676,104128,6089241,406976,
14123376,3200524,3200524,10922852,383317,351676,56896,6089241,406976,
14173016,3211812,3211812,10961204,383317,351676,95248,6089241,406976,
14196200,3226116,3226116,10970084,383317,351676,104128,6089241,406976,
14209744,3239660,3239660,10970084,383317,351676,104128,6089241,406976,
14152824,3212564,3212564,10940260,383317,351676,74304,6089241,406976,
14193752,3223668,3223668,10970084,383317,351676,104128,6089241,406976,
14203344,3233260,3233260,10970084,383317,351676,104128,6089241,406976,
14121872,3199020,3199020,10922852,383317,351676,56896,6089241,406976,
14174520,3213316,3213316,10961204,383317,351676,95248,6089241,406976,
14198680,3228596,3228596,10970084,383317,351676,104128,6089241,406976,
14205936,3235740,3235740,10970196,383317,351676,104128,6089241,406976,
14158448,3206924,3206924,10951524,383317,351676,85456,6089241,406976,
