Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
16668496,4426856,4426760,12241640,438401,415372,57168,6788940,495672,
16725904,4479376,4479376,12246528,438401,415372,62064,6788940,495672,
16723656,4468152,4468152,12255504,438401,415372,71040,6788940,495672,
16754064,4483328,4483328,12270736,438401,415372,86272,6788940,495672,
16728208,4472976,4472976,12255232,438401,415372,70768,6788940,495672,
16743512,4489368,4489368,12254144,438401,415372,69680,6788940,495672,
16739120,4472672,4472672,12266448,438401,415372,78672,6788940,495672,
16779520,4489416,4489416,12290104,438401,415372,105640,6788940,495672,
16790464,4500360,4500360,12290104,438401,415372,105640,6788940,495672,
16724720,4470288,4470288,12254432,438401,415372,69968,6788940,495672,
16785752,4495536,4495536,12290216,438401,415372,105640,6788940,495672,
16728856,4473768,4473768,12255088,438401,415372,70512,6788940,495672,
GPIO Reading stopped
