Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14856104,3608628,3608628,11247476,383317,357736,108120,6270054,416520,
14857000,3609544,3609544,11247456,383317,357736,108120,6270054,416520,
14857064,3609564,3609492,11247500,383317,357736,108120,6270054,416544,
14857064,3609564,3609564,11247500,383317,357736,108120,6270054,416544,
14857024,3609564,3609564,11247460,383317,357736,108120,6270054,416536,
14856576,3608964,3608964,11247612,383317,357736,108120,6270054,416544,
14861544,3614084,3614084,11247460,383317,357736,108120,6270054,416536,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14856576,3608964,3608964,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14861696,3614084,3614084,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14860192,3612580,3612580,11247612,383317,357736,108120,6270054,416544,
14862640,3615028,3615028,11247612,383317,357736,108120,6270054,416544,
14862640,3615028,3615028,11247612,383317,357736,108120,6270054,416544,
14862608,3615028,3615028,11247580,383317,357736,108120,6270054,416544,
14862608,3615028,3615028,11247580,383317,357736,108120,6270054,416544,
14862608,3615028,3615028,11247580,383317,357736,108120,6270054,416544,
14864112,3616532,3616532,11247580,383317,357736,108120,6270054,416544,
14866464,3618980,3618980,11247484,383317,357736,108120,6270054,416560,
14870416,3622932,3622932,11247484,383317,357736,108120,6270054,416560,
14861000,3613516,3613516,11247484,383317,357736,108120,6270054,416560,
14864016,3616532,3616532,11247484,383317,357736,108120,6270054,416560,
14864016,3616532,3616532,11247484,383317,357736,108120,6270054,416560,
14859008,3611412,3611412,11247596,383317,357736,108120,6270054,416560,
14866576,3618980,3618980,11247596,383317,357736,108120,6270054,416560,
14870528,3622932,3622932,11247596,383317,357736,108120,6270054,416560,
14866912,3619316,3619316,11247596,383317,357736,108120,6270054,416560,
14864128,3616532,3616532,11247596,383317,357736,108120,6270054,416560,
14864128,3616532,3616532,11247596,383317,357736,108120,6270054,416560,
14862624,3615028,3615028,11247596,383317,357736,108120,6270054,416560,
14866576,3618980,3618980,11247596,383317,357736,108120,6270054,416560,
14866912,3619316,3619316,11247596,383317,357736,108120,6270054,416560,
14870528,3622932,3622932,11247596,383317,357736,108120,6270054,416560,
14860512,3612916,3612916,11247596,383317,357736,108120,6270054,416560,
14864128,3616532,3616532,11247596,383317,357736,108120,6270054,416560,
14862624,3615028,3615028,11247596,383317,357736,108120,6270054,416560,
14866576,3618980,3618980,11247596,383317,357736,108120,6270054,416560,
14870528,3622932,3622932,11247596,383317,357736,108120,6270054,416560,
