Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15402248,4197656,4197656,11204592,383317,353974,200232,6177454,409600,
15397464,4192768,4192768,11204696,383317,353974,200336,6177454,409600,
15398424,4193712,4193712,11204712,383317,353974,200352,6177454,409600,
15398248,4193136,4193136,11205112,383317,353974,200752,6177454,409600,
15399520,4194640,4194640,11204880,383317,353974,200520,6177454,409600,
15401432,4196152,4196152,11205280,383317,353974,200920,6177454,409600,
15403792,4199176,4199176,11204616,383317,353974,200256,6177454,409600,
15419560,4214408,4214408,11205152,383317,353974,200680,6177454,409600,
15423200,4217640,4217640,11205560,383317,353974,201088,6177454,409600,
15510312,4304336,4304336,11205976,383317,353974,201504,6177454,409600,
15519560,4314224,4314224,11205336,383317,353974,200864,6177454,409600,
15500024,4295000,4295000,11205024,383317,353974,200552,6177454,409600,
15512216,4306784,4306784,11205432,383317,353974,200960,6177454,409600,
15520064,4314224,4314224,11205840,383317,353974,201368,6177454,409600,
15515520,4309264,4309264,11206256,383317,353974,201784,6177454,409600,
15523360,4316704,4316704,11206656,383317,353974,202184,6177454,409600,
15516320,4309264,4309264,11207056,383317,353974,202584,6177454,409600,
15523536,4318208,4318208,11205328,383317,353974,200856,6177454,409600,
15514328,4309264,4309264,11205064,383317,353974,200592,6177454,409600,
15522280,4316800,4316704,11205480,383317,353974,201000,6177454,409600,
15515152,4309264,4309264,11205888,383317,353974,201416,6177454,409600,
15522888,4316704,4316704,11206184,383317,353974,201824,6177454,409600,
15515848,4309264,4309264,11206584,383317,353974,202224,6177454,409600,
15527672,4320656,4320656,11207016,383317,353974,202656,6177454,409600,
15519552,4314688,4314688,11204864,383317,353974,200504,6177454,409600,
15519536,4314224,4314224,11205312,383317,353974,200952,6177454,409600,
15518752,4313216,4313216,11205536,383317,353974,201064,6177454,409600,
15530560,4324608,4324608,11205952,383317,353974,201480,6177454,409600,
15521056,4314688,4314688,11206368,383317,353974,201896,6177454,409600,
15522496,4315728,4315728,11206768,383317,353974,202296,6177454,409600,
15517936,4310768,4310768,11207168,383317,353974,202696,6177454,409600,
15522072,4316704,4316704,11205368,383317,353974,200896,6177454,409600,
15515928,4310736,4310736,11205192,383317,353974,200720,6177454,409600,
15527720,4322128,4322128,11205592,383317,353974,201120,6177454,409600,
15523168,4317168,4317168,11206000,383317,353974,201528,6177454,409600,
15524616,4318208,4318208,11206408,383317,353974,201936,6177454,409600,
15517592,4310768,4310768,11206824,383317,353974,202352,6177454,409600,
15523928,4316704,4316704,11207224,383317,353974,202752,6177454,409600,
15515720,4310736,4310736,11204984,383317,353974,200512,6177454,409600,
15527512,4322128,4322128,11205384,383317,353974,200912,6177454,409600,
15520280,4314688,4314688,11205592,383317,353974,201120,6177454,409600,
15521744,4315728,4315728,11206016,383317,353974,201544,6177454,409600,
15513568,4307152,4307152,11206416,383317,353974,201944,6177454,409600,
15520928,4314224,4314224,11206704,383317,353974,202344,6177454,409600,
15517872,4310768,4310768,11207104,383317,353974,202744,6177454,409600,
15526008,4320656,4320656,11205352,383317,353974,200880,6177454,409600,
15513520,4308288,4308288,11205232,383317,353974,200760,6177454,409600,
15521368,4315728,4315728,11205640,383317,353974,201168,6177454,409600,
15514392,4308328,4308328,11206064,383317,353974,201592,6177454,409600,
15521056,4314592,4314592,11206464,383317,353974,201992,6177454,409600,
15499752,4292856,4292856,11206896,383317,353974,202424,6177454,409600,
15515592,4308288,4308288,11207304,383317,353974,202832,6177454,409600,
15521112,4315728,4315728,11205384,383317,353974,200912,6177454,409600,
15511152,4305848,4305848,11205304,383317,353974,200832,6177454,409600,
15521352,4315728,4315728,11205624,383317,353974,201264,6177454,409600,
15516776,4310736,4310736,11206040,383317,353974,201680,6177454,409600,
15522176,4315728,4315728,11206448,383317,353974,202088,6177454,409600,
15515144,4308288,4308288,11206856,383317,353974,202496,6177454,409600,
15520552,4313288,4313288,11207264,383317,353974,202904,6177454,409600,
15513168,4308288,4308288,11204880,383317,353974,200520,6177454,409600,
15523576,4318176,4318176,11205400,383317,353974,200928,6177454,409600,
15514008,4308288,4308288,11205720,383317,353974,201248,6177454,409600,
15521864,4315728,4315728,11206136,383317,353974,201664,6177454,409600,
15500600,4294064,4294064,11206536,383317,353974,202064,6177454,409600,
15515224,4308288,4308288,11206936,383317,353974,202464,6177454,409600,
15525400,4318176,4318176,11207224,383317,353974,202864,6177454,409600,
15515752,4310768,4310768,11204984,383317,353974,200512,6177454,409600,
15523600,4318208,4318208,11205392,383317,353974,200920,6177454,409600,
15499824,4294064,4294064,11205760,383317,353974,201288,6177454,409600,
15502680,4296504,4296504,11206176,383317,353974,201704,6177454,409600,
15505528,4298952,4298952,11206576,383317,353974,202104,6177454,409600,
15515296,4308288,4308288,11207008,383317,353974,202536,6177454,409600,
15523144,4315728,4315728,11207416,383317,353974,202944,6177454,409600,
15510832,4305848,4305848,11204984,383317,353974,200512,6177454,409600,
15521120,4315728,4315728,11205392,383317,353974,200920,6177454,409600,
15516536,4310736,4310736,11205800,383317,353974,201328,6177454,409600,
15521832,4315728,4315728,11206104,383317,353974,201744,6177454,409600,
15514792,4308288,4308288,11206504,383317,353974,202144,6177454,409600,
