Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15339312,4075092,4075092,11264220,383317,357687,126336,6270406,415688,
15327792,4063572,4063572,11264220,383317,357687,126336,6270406,415688,
15332936,4068692,4068692,11264244,383317,357687,126336,6270406,415688,
15331432,4067188,4067188,11264244,383317,357687,126336,6270406,415688,
15331408,4067188,4067188,11264220,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15334560,4070204,4070204,11264356,383317,357687,126336,6270406,415688,
15334560,4070204,4070204,11264356,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15336064,4071708,4071708,11264356,383317,357687,126336,6270406,415688,
15334560,4070204,4070204,11264356,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15334560,4070204,4070204,11264356,383317,357687,126336,6270406,415688,
15334560,4070204,4070204,11264356,383317,357687,126336,6270406,415688,
15334536,4070204,4070204,11264332,383317,357687,126336,6270406,415688,
15336984,4072652,4072652,11264332,383317,357687,126336,6270406,415688,
15338512,4074156,4074156,11264356,383317,357687,126336,6270406,415688,
15337112,4072748,4072652,11264364,383317,357687,126336,6270406,415688,
15336984,4072652,4072652,11264332,383317,357687,126336,6270406,415688,
15336872,4072652,4072652,11264220,383317,357687,126336,6270406,415688,
15336896,4072652,4072652,11264244,383317,357687,126336,6270406,415688,
15344800,4080556,4080556,11264244,383317,357687,126336,6270406,415688,
15344776,4080556,4080556,11264220,383317,357687,126336,6270406,415688,
15338376,4074156,4074156,11264220,383317,357687,126336,6270406,415688,
15338400,4074156,4074156,11264244,383317,357687,126336,6270406,415688,
15336896,4072652,4072652,11264244,383317,357687,126336,6270406,415688,
15338376,4074156,4074156,11264220,383317,357687,126336,6270406,415688,
15340824,4076604,4076604,11264220,383317,357687,126336,6270406,415688,
15338400,4074156,4074156,11264244,383317,357687,126336,6270406,415688,
15338408,4074164,4074164,11264244,383317,357687,126336,6270406,415688,
15335936,4071716,4071716,11264220,383317,357687,126336,6270406,415688,
15338376,4074156,4074156,11264220,383317,357687,126336,6270406,415688,
15337232,4072988,4072988,11264244,383317,357687,126336,6270406,415688,
15338400,4074156,4074156,11264244,383317,357687,126336,6270406,415688,
15338384,4074164,4074164,11264220,383317,357687,126336,6270406,415688,
15336048,4071716,4071716,11264332,383317,357687,126336,6270406,415688,
15338512,4074156,4074156,11264356,383317,357687,126336,6270406,415688,
15340992,4076604,4076604,11264388,383317,357687,126336,6270406,415688,
15334904,4070540,4070540,11264364,383317,357687,126336,6270406,415688,
15338520,4074156,4074156,11264364,383317,357687,126336,6270406,415688,
15336104,4071716,4071716,11264388,383317,357687,126336,6270406,415688,
15338432,4074156,4074156,11264276,383317,357687,126336,6270406,415688,
15340856,4076604,4076604,11264252,383317,357687,126336,6270406,415688,
15338408,4074156,4074156,11264252,383317,357687,126336,6270406,415688,
15338432,4074156,4074156,11264276,383317,357687,126336,6270406,415688,
15336104,4071716,4071716,11264388,383317,357687,126336,6270406,415688,
