Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14862656,3614460,3614364,11248196,383317,357736,107840,6270030,416496,
14854648,3606460,3606460,11248188,383317,357736,107840,6270030,416496,
14854624,3606460,3606460,11248164,383317,357736,107840,6270030,416496,
14854624,3606460,3606460,11248164,383317,357736,107840,6270030,416496,
14854648,3606460,3606460,11248188,383317,357736,107840,6270030,416496,
14862304,3614004,3614004,11248300,383317,357736,107840,6270030,416496,
14858328,3610052,3610052,11248276,383317,357736,107840,6270030,416496,
14858328,3610052,3610052,11248276,383317,357736,107840,6270030,416496,
14858352,3610052,3610052,11248300,383317,357736,107840,6270030,416496,
14858352,3610052,3610052,11248300,383317,357736,107840,6270030,416496,
14858328,3610052,3610052,11248276,383317,357736,107840,6270030,416496,
14854712,3606436,3606436,11248276,383317,357736,107840,6270030,416496,
14858352,3610052,3610052,11248300,383317,357736,107840,6270030,416496,
14859856,3611556,3611556,11248300,383317,357736,107840,6270030,416496,
14858328,3610052,3610052,11248276,383317,357736,107840,6270030,416496,
14858328,3610052,3610052,11248276,383317,357736,107840,6270030,416496,
14858352,3610052,3610052,11248300,383317,357736,107840,6270030,416496,
14860800,3612500,3612500,11248300,383317,357736,107840,6270030,416496,
14860776,3612500,3612500,11248276,383317,357736,107840,6270030,416496,
14860776,3612500,3612500,11248276,383317,357736,107840,6270030,416496,
14860824,3612500,3612500,11248324,383317,357736,107840,6270030,416496,
14862224,3614012,3614012,11248212,383317,357736,107840,6270030,416496,
14860664,3612500,3612500,11248164,383317,357736,107840,6270030,416496,
14868568,3620404,3620404,11248164,383317,357736,107840,6270030,416496,
14868616,3620404,3620404,11248212,383317,357736,107840,6270030,416496,
14862224,3614012,3614012,11248212,383317,357736,107840,6270030,416496,
14862168,3614004,3614004,11248164,383317,357736,107840,6270030,416496,
14859728,3611564,3611564,11248164,383317,357736,107840,6270030,416496,
14862216,3614004,3614004,11248212,383317,357736,107840,6270030,416496,
14864664,3616452,3616452,11248212,383317,357736,107840,6270030,416496,
14862280,3614004,3614004,11248276,383317,357736,107840,6270030,416496,
14862280,3614004,3614004,11248276,383317,357736,107840,6270030,416496,
14859888,3611564,3611564,11248324,383317,357736,107840,6270030,416496,
14862328,3614004,3614004,11248324,383317,357736,107840,6270030,416496,
