Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15452720,4180452,4180452,11272268,383317,357692,134776,6270397,415824,
15500256,4228084,4227940,11272172,383317,357692,134680,6270397,415824,
15508112,4235524,4235524,11272588,383317,357692,135096,6270397,415824,
15517416,4244828,4244828,11272588,383317,357692,135096,6270397,415824,
15525376,4252268,4252268,11273108,383317,357692,135504,6270397,415824,
15521856,4249156,4249156,11272700,383317,357692,135096,6270397,415824,
15494832,4222548,4222548,11272284,383317,357692,134680,6270397,415824,
15493032,4220748,4220748,11272284,383317,357692,134680,6270397,415824,
15505304,4232604,4232604,11272700,383317,357692,135096,6270397,415824,
15487392,4215108,4215108,11272284,383317,357692,134680,6270397,415824,
15503480,4231100,4231100,11272380,383317,357692,134776,6270397,415824,
15491216,4218932,4218932,11272284,383317,357692,134680,6270397,415824,
15493032,4220748,4220748,11272284,383317,357692,134680,6270397,415824,
15503800,4231100,4231100,11272700,383317,357692,135096,6270397,415824,
15483776,4211492,4211492,11272284,383317,357692,134680,6270397,415824,
15503480,4231100,4231100,11272380,383317,357692,134776,6270397,415824,
15496344,4224060,4224060,11272284,383317,357692,134680,6270397,415824,
15503048,4230348,4230348,11272700,383317,357692,135096,6270397,415824,
15506248,4233548,4233548,11272700,383317,357692,135096,6270397,415824,
15491968,4219676,4219580,11272292,383317,357692,134680,6270397,415824,
15506248,4233548,4233548,11272700,383317,357692,135096,6270397,415824,
15489728,4217556,4217556,11272172,383317,357692,134680,6270397,415824,
15505816,4233548,4233548,11272268,383317,357692,134776,6270397,415824,
15505168,4232900,4232900,11272268,383317,357692,134680,6270397,415808,
15503368,4231100,4231100,11272268,383317,357692,134680,6270397,415808,
15507736,4235052,4235052,11272684,383317,357692,135096,6270397,415808,
15491328,4219060,4219060,11272268,383317,357692,134680,6270397,415808,
15504976,4232612,4232612,11272364,383317,357692,134776,6270397,415808,
15498776,4226508,4226508,11272268,383317,357692,134680,6270397,415808,
15509768,4237500,4237500,11272268,383317,357692,134680,6270397,415808,
15515176,4242492,4242492,11272684,383317,357692,135096,6270397,415808,
15509080,4236396,4236396,11272684,383317,357692,135096,6270397,415808,
15522040,4249356,4249356,11272684,383317,357692,135096,6270397,415808,
15532328,4259236,4259236,11273092,383317,357692,135504,6270397,415808,
15515144,4242460,4242460,11272684,383317,357692,135096,6270397,415808,
15526960,4254276,4254276,11272684,383317,357692,135096,6270397,415808,
15534808,4261716,4261716,11273092,383317,357692,135504,6270397,415808,
15506640,4233956,4233956,11272684,383317,357692,135096,6270397,415808,
15524480,4251796,4251796,11272684,383317,357692,135096,6270397,415808,
15534880,4261780,4261684,11273100,383317,357692,135504,6270397,415808,
15509080,4236396,4236396,11272684,383317,357692,135096,6270397,415808,
15524480,4251796,4251796,11272684,383317,357692,135096,6270397,415808,
15526272,4253180,4253180,11273092,383317,357692,135504,6270397,415808,
15510104,4237532,4237532,11272572,383317,357692,135096,6270397,415808,
15511416,4238844,4238844,11272572,383317,357692,135096,6270397,415808,
15524480,4251796,4251796,11272684,383317,357692,135096,6270397,415808,
15532328,4259236,4259236,11273092,383317,357692,135504,6270397,415808,
15506640,4233956,4233956,11272684,383317,357692,135096,6270397,415808,
15520864,4248180,4248180,11272684,383317,357692,135096,6270397,415808,
15539448,4266356,4266356,11273092,383317,357692,135504,6270397,415808,
15526960,4254276,4254276,11272684,383317,357692,135096,6270397,415808,
15501248,4228980,4228980,11272268,383317,357692,134680,6270397,415808,
15504880,4232612,4232612,11272268,383317,357692,134680,6270397,415808,
15515176,4242492,4242492,11272684,383317,357692,135096,6270397,415808,
15515032,4242460,4242460,11272572,383317,357692,135096,6270397,415808,
15524368,4251796,4251796,11272572,383317,357692,135096,6270397,415808,
15536280,4263188,4263188,11273092,383317,357692,135504,6270397,415808,
15528472,4255788,4255788,11272684,383317,357692,135096,6270397,415808,
15505200,4232932,4232932,11272268,383317,357692,134680,6270397,415808,
15503472,4231196,4231100,11272276,383317,357692,134680,6270397,415808,
15511688,4239004,4239004,11272684,383317,357692,135096,6270397,415808,
15495280,4223012,4223012,11272268,383317,357692,134680,6270397,415808,
15505312,4232948,4232948,11272364,383317,357692,134776,6270397,415808,
15497760,4225492,4225492,11272268,383317,357692,134680,6270397,415808,
15513720,4241452,4241452,11272268,383317,357692,134680,6270397,415808,
15515400,4242828,4242828,11272572,383317,357692,135096,6270397,415808,
15510552,4237868,4237868,11272684,383317,357692,135096,6270397,415808,
15508112,4235428,4235428,11272684,383317,357692,135096,6270397,415808,
15514168,4241484,4241484,11272684,383317,357692,135096,6270397,415808,
15530880,4258196,4258196,11272684,383317,357692,135096,6270397,415808,
15536280,4263188,4263188,11273092,383317,357692,135504,6270397,415808,
15530912,4258228,4258228,11272684,383317,357692,135096,6270397,415808,
15502760,4230492,4230492,11272268,383317,357692,134680,6270397,415808,
15497304,4225036,4225036,11272268,383317,357692,134680,6270397,415808,
15514136,4241452,4241452,11272684,383317,357692,135096,6270397,415808,
15491664,4219396,4219396,11272268,383317,357692,134680,6270397,415808,
15511256,4239004,4239004,11272252,383317,357692,134776,6270397,415808,
15496552,4224396,4224396,11272156,383317,357692,134680,6270397,415808,
15500920,4228652,4228652,11272268,383317,357692,134680,6270397,415808,
15514240,4241548,4241452,11272692,383317,357692,135096,6270397,415808,
15495280,4223012,4223012,11272268,383317,357692,134680,6270397,415808,
15511368,4239004,4239004,11272364,383317,357692,134776,6270397,415808,
15496664,4224396,4224396,11272268,383317,357692,134680,6270397,415808,
15500920,4228652,4228652,11272268,383317,357692,134680,6270397,415808,
15514136,4241452,4241452,11272684,383317,357692,135096,6270397,415808,
15495280,4223012,4223012,11272268,383317,357692,134680,6270397,415808,
15511368,4239004,4239004,11272364,383317,357692,134776,6270397,415808,
15500272,4228108,4228012,11272164,383317,357692,134680,6270397,415808,
15495456,4222772,4222772,11272684,383317,357692,135096,6270397,415808,
15504720,4232036,4232036,11272684,383317,357692,135096,6270397,415808,
15502848,4230164,4230092,11272684,383317,357692,135096,6270397,415808,
15502848,4230164,4230164,11272684,383317,357692,135096,6270397,415808,
