Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15154848,3876712,3876712,11278136,383317,357693,139888,6269538,416552,
15155280,3876712,3876712,11278568,383317,357693,140320,6269538,416552,
15146456,3870312,3870312,11276144,383317,357693,137896,6269538,416552,
15149192,3872760,3872760,11276432,383317,357693,138296,6269538,416552,
15153648,3876808,3876712,11276840,383317,357693,138696,6269538,416552,
15147680,3870312,3870312,11277368,383317,357693,139120,6269538,416552,
15150528,3872760,3872760,11277768,383317,357693,139520,6269538,416552,
15154880,3876712,3876712,11278168,383317,357693,139920,6269538,416552,
15147376,3868808,3868808,11278568,383317,357693,140320,6269538,416552,
15148944,3872760,3872760,11276184,383317,357693,137936,6269538,416552,
15153296,3876712,3876712,11276584,383317,357693,138336,6269538,416552,
15145824,3868808,3868808,11277016,383317,357693,138768,6269538,416552,
15150184,3872760,3872760,11277424,383317,357693,139176,6269538,416552,
15154536,3876712,3876712,11277824,383317,357693,139576,6269538,416552,
15145984,3867872,3867872,11278112,383317,357693,139976,6269538,416552,
15151304,3872760,3872760,11278544,383317,357693,140408,6269538,416552,
15152824,3876712,3876712,11276112,383317,357693,137976,6269538,416552,
15144384,3867872,3867872,11276512,383317,357693,138376,6269538,416552,
15149672,3872760,3872760,11276912,383317,357693,138776,6269538,416552,
15154136,3876712,3876712,11277424,383317,357693,139176,6269538,416552,
15145120,3867296,3867296,11277824,383317,357693,139576,6269538,416552,
15148536,3870312,3870312,11278224,383317,357693,139976,6269538,416552,
15155360,3876712,3876712,11278648,383317,357693,140400,6269538,416552,
15152976,3876712,3876712,11276264,383317,357693,138016,6269538,416552,
15147112,3870408,3870312,11276704,383317,357693,138448,6269538,416552,
15153696,3876712,3876712,11276984,383317,357693,138848,6269538,416552,
15154096,3876712,3876712,11277384,383317,357693,139248,6269538,416552,
15148096,3870312,3870312,11277784,383317,357693,139648,6269538,416552,
15151088,3872760,3872760,11278328,383317,357693,140080,6269538,416552,
15155448,3876712,3876712,11278736,383317,357693,140488,6269538,416552,
15146616,3870312,3870312,11276304,383317,357693,138056,6269538,416552,
15149464,3872760,3872760,11276704,383317,357693,138456,6269538,416552,
15153816,3876712,3876712,11277104,383317,357693,138856,6269538,416552,
15142696,3865192,3865192,11277504,383317,357693,139256,6269538,416552,
15147048,3869144,3869144,11277904,383317,357693,139656,6269538,416552,
15155016,3876712,3876712,11278304,383317,357693,140056,6269538,416552,
15147424,3868808,3868808,11278616,383317,357693,140480,6269538,416552,
15149280,3872856,3872760,11276424,383317,357693,138128,6269538,416704,
15149864,3873096,3873096,11276768,383317,357693,138616,6269538,416568,
15145984,3868808,3868808,11277176,383317,357693,139024,6269538,416568,
15150336,3872760,3872760,11277576,383317,357693,139424,6269538,416568,
15154696,3876712,3876712,11277984,383317,357693,139832,6269538,416568,
15146256,3867872,3867872,11278384,383317,357693,140232,6269538,416568,
15139200,3863352,3863352,11275848,383317,357693,137696,6269538,416568,
15143384,3867296,3867296,11276088,383317,357693,137936,6269538,416568,
15134752,3858456,3858456,11276296,383317,357693,138144,6269538,416568,
15141120,3864856,3864856,11276264,383317,357693,138112,6269538,416568,
15146288,3870320,3870320,11275968,383317,357693,137816,6269538,416568,
15146768,3870320,3870320,11276448,383317,357693,138296,6269538,416568,
15140776,3863920,3863920,11276856,383317,357693,138704,6269538,416568,
15148944,3872760,3872760,11276184,383317,357693,138032,6269538,416568,
15149384,3872760,3872760,11276624,383317,357693,138472,6269538,416568,
15143384,3866360,3866360,11277024,383317,357693,138872,6269538,416568,
15146240,3868808,3868808,11277432,383317,357693,139280,6269538,416568,
15152744,3876712,3876712,11276032,383317,357693,137880,6269538,416568,
15146840,3870312,3870312,11276528,383317,357693,138376,6269538,416568,
15149696,3872760,3872760,11276936,383317,357693,138784,6269538,416568,
15154056,3876712,3876712,11277344,383317,357693,139192,6269538,416568,
15148176,3870312,3870312,11277864,383317,357693,139600,6269538,416568,
15151024,3872760,3872760,11278264,383317,357693,140000,6269538,416568,
15155376,3876712,3876712,11278664,383317,357693,140400,6269538,416568,
15145016,3868808,3868808,11276208,383317,357693,137944,6269538,416568,
15149408,3872760,3872760,11276648,383317,357693,138384,6269538,416568,
15153768,3876712,3876712,11277056,383317,357693,138792,6269538,416568,
15146272,3868808,3868808,11277464,383317,357693,139200,6269538,416568,
15150624,3872760,3872760,11277864,383317,357693,139600,6269538,416568,
15154976,3876712,3876712,11278264,383317,357693,140000,6269538,416568,
15146568,3867872,3867872,11278696,383317,357693,140432,6269538,416568,
15149024,3872768,3872768,11276256,383317,357693,137992,6269538,416568,
15153304,3876720,3876720,11276584,383317,357693,138432,6269538,416568,
15144296,3867304,3867304,11276992,383317,357693,138840,6269538,416568,
15150168,3872768,3872768,11277400,383317,357693,139248,6269538,416568,
15154520,3876720,3876720,11277800,383317,357693,139648,6269538,416568,
15154952,3876720,3876720,11278232,383317,357693,140080,6269538,416568,
15148952,3870312,3870312,11278640,383317,357693,140488,6269538,416568,
15152904,3876712,3876712,11276192,383317,357693,138040,6269538,416568,
15153336,3876712,3876712,11276624,383317,357693,138472,6269538,416568,
15147336,3870312,3870312,11277024,383317,357693,138872,6269538,416568,
15154144,3876712,3876712,11277432,383317,357693,139280,6269538,416568,
15154544,3876712,3876712,11277832,383317,357693,139680,6269538,416568,
15148544,3870312,3870312,11278232,383317,357693,140080,6269538,416568,
15151392,3872760,3872760,11278632,383317,357693,140480,6269538,416568,
15152944,3876712,3876712,11276232,383317,357693,138080,6269538,416568,
15146984,3870320,3870320,11276664,383317,357693,138512,6269538,416568,
15150760,3873696,3873696,11277064,383317,357693,138912,6269538,416568,
15155120,3877648,3877648,11277472,383317,357693,139320,6269538,416568,
15147616,3869744,3869744,11277872,383317,357693,139720,6269538,416568,
15152000,3873696,3873696,11278304,383317,357693,140152,6269538,416568,
15156472,3877648,3877648,11278824,383317,357693,140560,6269538,416568,
15146152,3869744,3869744,11276408,383317,357693,138144,6269538,416568,
15150520,3873704,3873704,11276816,383317,357693,138552,6269538,416568,
15154864,3877648,3877648,11277216,383317,357693,138952,6269538,416568,
15146432,3868808,3868808,11277624,383317,357693,139360,6269538,416568,
15151720,3873696,3873696,11278024,383317,357693,139760,6269538,416568,
15156072,3877648,3877648,11278424,383317,357693,140160,6269538,416568,
15147664,3868808,3868808,11278856,383317,357693,140592,6269538,416568,
15150160,3873704,3873704,11276456,383317,357693,138192,6269538,416568,
15154512,3877648,3877648,11276864,383317,357693,138600,6269538,416568,
15145496,3868232,3868232,11277264,383317,357693,139000,6269538,416568,
15148920,3871248,3871248,11277672,383317,357693,139408,6269538,416568,
15155720,3877648,3877648,11278072,383317,357693,139808,6269538,416568,
15156152,3877648,3877648,11278504,383317,357693,140240,6269538,416568,
15137680,3861832,3861832,11275848,383317,357693,137696,6269538,416568,
15144328,3868240,3868240,11276088,383317,357693,137936,6269538,416568,
15145112,3868816,3868816,11276296,383317,357693,138144,6269538,416568,
15139616,3863352,3863352,11276264,383317,357693,138112,6269538,416568,
15143264,3867296,3867296,11275968,383317,357693,137816,6269538,416568,
15147704,3871256,3871256,11276448,383317,357693,138296,6269538,416568,
15141704,3864848,3864848,11276856,383317,357693,138704,6269538,416568,
15145928,3869744,3869744,11276184,383317,357693,138032,6269538,416568,
15150320,3873696,3873696,11276624,383317,357693,138472,6269538,416568,
15142816,3865792,3865792,11277024,383317,357693,138872,6269538,416568,
15147184,3869752,3869752,11277432,383317,357693,139280,6269538,416568,
15153680,3877648,3877648,11276032,383317,357693,137880,6269538,416568,
15146272,3869744,3869744,11276528,383317,357693,138376,6269538,416568,
