Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
16586896,4143876,4142792,12443020,442497,421460,131264,6878107,502488,
16626416,4143876,4142792,12482540,442497,421460,131264,6878107,502488,
16654544,4125740,4124656,12528804,442497,421460,131264,6878107,502640,
16702048,4127320,4126140,12574728,442497,421460,131264,6878107,502504,
16750472,4129672,4128588,12620800,442497,421460,131264,6878107,502504,
16809256,4142228,4141048,12667028,442497,421460,131264,6878107,502504,
16855352,4142264,4140620,12713088,442497,421460,131264,6878107,502504,
16895488,4136292,4134648,12759196,442497,421460,131264,6878107,502504,
16947024,4141724,4140640,12805300,442497,421460,131264,6878107,502504,
16989664,4138276,4137096,12851388,442497,421460,131264,6878107,502504,
17037104,4139636,4138552,12897468,442497,421460,131264,6878107,502504,
17076336,4132764,4131584,12943572,442497,421460,131264,6878107,502504,
17122448,4132764,4131584,12989684,442497,421460,131264,6878107,502504,
17172480,4136716,4135536,13035764,442497,421460,131264,6878107,502504,
17218480,4136620,4135536,13081860,442497,421460,131264,6878107,502504,
17274912,4146972,4145888,13127940,442497,421460,131264,6878107,502504,
17302736,4128716,4127632,13174020,442497,421460,131264,6878107,502504,
17350896,4130780,4129136,13220116,442497,421460,131264,6878107,502504,
17409200,4143020,4141936,13266180,442497,421460,131264,6878107,502504,
17455336,4142972,4141792,13312364,442497,421460,131264,6878107,502504,
17505264,4146828,4145744,13358436,442497,421460,131264,6878107,502504,
17542384,4137980,4136896,13404404,442497,421460,131264,6878107,502504,
17588504,4138056,4136876,13450448,442497,421460,131264,6878107,502488,
17626888,4130172,4128992,13496716,442497,421460,131264,6878107,502512,
17676768,4134008,4132924,13542760,442497,421460,131264,6878107,502512,
17737304,4148428,4147248,13588876,442497,421460,131264,6878107,502512,
17764088,4129140,4128056,13634948,442497,421460,131264,6878107,502512,
17825512,4144476,4143296,13681036,442497,421460,131264,6878107,502512,
17875592,4148372,4147192,13727220,442497,421460,131264,6878107,502512,
17912272,4138956,4137776,13773316,442497,421460,131264,6878107,502512,
17961368,4141972,4140792,13819396,442497,421460,131264,6878107,502512,
18003496,4138020,4136840,13865476,442497,421460,131264,6878107,502512,
18049472,4137924,4136840,13911548,442497,421460,131264,6878107,502512,
18089256,4131620,4130440,13957636,442497,421460,131264,6878107,502512,
