Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14909720,3945152,3943508,10964568,383317,352261,55072,6114583,407720,
14933024,3949520,3947876,10983504,383317,352261,55072,6114583,407584,
14974688,3948016,3946372,11026672,383317,352261,55072,6114583,407584,
15010736,3940864,3939220,11069872,383317,352261,55072,6114583,407584,
15051600,3938504,3936812,11113096,383317,352261,55072,6114583,407584,
15102216,3945912,3944268,11156304,383317,352261,55072,6114583,407584,
15141976,3942280,3940732,11199696,383317,352261,55072,6114583,407584,
15182992,3940112,3938324,11242880,383317,352261,55072,6114583,407584,
15235536,3949432,3947884,11286104,383317,352261,55072,6114583,407584,
15273192,3943880,3942236,11329312,383317,352261,55072,6114583,407584,
15312512,3940016,3938324,11372496,383317,352261,55072,6114583,407584,
