Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14850384,3603268,3603268,11247116,383317,357736,108096,6270030,416536,
14847280,3600252,3600252,11247028,383317,357736,108008,6270030,416536,
14847296,3600244,3600244,11247052,383317,357736,108008,6270030,416560,
14847296,3600244,3600244,11247052,383317,357736,108008,6270030,416560,
14862008,3614540,3614540,11247468,383317,357736,108424,6270030,416560,
14954960,3707492,3707492,11247468,383317,357736,108424,6270030,416560,
14928496,3681444,3681444,11247052,383317,357736,108008,6270030,416560,
14927448,3680396,3680396,11247052,383317,357736,108008,6270030,416560,
14934712,3687132,3687132,11247580,383317,357736,108424,6270030,416560,
14917552,3670388,3670388,11247164,383317,357736,108008,6270030,416560,
14937912,3690748,3690748,11247164,383317,357736,108008,6270030,416560,
14945768,3698188,3698188,11247580,383317,357736,108424,6270030,416560,
14944792,3697212,3697212,11247580,383317,357736,108424,6270030,416560,
14943288,3695708,3695708,11247580,383317,357736,108424,6270030,416560,
14957552,3709972,3709972,11247580,383317,357736,108424,6270030,416560,
14965384,3717412,3717412,11247972,383317,357736,108816,6270030,416560,
14943288,3695708,3695708,11247580,383317,357736,108424,6270030,416560,
14960000,3712420,3712420,11247580,383317,357736,108424,6270030,416560,
14967840,3719868,3719868,11247972,383317,357736,108816,6270030,416560,
14960008,3712428,3712428,11247580,383317,357736,108424,6270030,416560,
14935040,3687876,3687876,11247164,383317,357736,108008,6270030,416560,
14937464,3689996,3689996,11247468,383317,357736,108424,6270030,416560,
14943168,3695684,3695684,11247484,383317,357736,108424,6270030,416576,
14961400,3713892,3713892,11247508,383317,357736,108424,6270030,416600,
14973184,3725284,3725284,11247900,383317,357736,108816,6270030,416600,
14942168,3694548,3694548,11247620,383317,357736,108424,6270030,416600,
14947248,3699628,3699628,11247620,383317,357736,108424,6270030,416600,
14967944,3720324,3720324,11247620,383317,357736,108424,6270030,416600,
14975776,3727764,3727764,11248012,383317,357736,108816,6270030,416600,
14959064,3711444,3711444,11247620,383317,357736,108424,6270030,416600,
14932608,3685404,3685404,11247204,383317,357736,108008,6270030,416600,
14930048,3682844,3682844,11247204,383317,357736,108008,6270030,416600,
14942328,3694708,3694708,11247620,383317,357736,108424,6270030,416600,
14925160,3677956,3677956,11247204,383317,357736,108008,6270030,416600,
14939464,3692260,3692260,11247204,383317,357736,108008,6270030,416600,
14949760,3702140,3702140,11247620,383317,357736,108424,6270030,416600,
14959072,3711452,3711452,11247620,383317,357736,108424,6270030,416600,
14931096,3683892,3683892,11247204,383317,357736,108008,6270030,416600,
14941568,3693948,3693948,11247620,383317,357736,108424,6270030,416600,
14948720,3701100,3701100,11247620,383317,357736,108424,6270030,416600,
14965464,3717844,3717844,11247620,383317,357736,108424,6270030,416600,
14966904,3718892,3718892,11248012,383317,357736,108816,6270030,416600,
14961496,3713924,3713924,11247572,383317,357736,108424,6270030,416600,
14933424,3686380,3686380,11247044,383317,357736,108008,6270030,416600,
14944192,3697148,3697148,11247044,383317,357736,108008,6270030,416600,
14956112,3708540,3708540,11247572,383317,357736,108424,6270030,416600,
