Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15735240,4055700,4055604,11679540,387413,369662,149120,6551573,481408,
15727232,4047700,4047700,11679532,387413,369662,149120,6551573,481408,
15728744,4049204,4049204,11679540,387413,369662,149120,6551573,481408,
15727248,4047708,4047708,11679540,387413,369662,149120,6551573,481408,
15727232,4047700,4047700,11679532,387413,369662,149120,6551573,481408,
15728744,4049212,4049212,11679532,387413,369662,149120,6551573,481408,
15728752,4049212,4049212,11679540,387413,369662,149120,6551573,481408,
15728752,4049212,4049212,11679540,387413,369662,149120,6551573,481408,
15728744,4049212,4049212,11679532,387413,369662,149120,6551573,481408,
15728744,4049212,4049212,11679532,387413,369662,149120,6551573,481408,
15730248,4050716,4050716,11679532,387413,369662,149120,6551573,481408,
15728752,4049220,4049220,11679532,387413,369662,149120,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15728760,4049212,4049212,11679548,387413,369662,149136,6551573,481408,
15730264,4050716,4050716,11679548,387413,369662,149136,6551573,481408,
15728768,4049220,4049220,11679548,387413,369662,149136,6551573,481408,
15725144,4045596,4045596,11679548,387413,369662,149136,6551573,481408,
15725256,4045596,4045596,11679660,387413,369662,149136,6551573,481408,
15725256,4045596,4045596,11679660,387413,369662,149136,6551573,481408,
15736776,4057116,4057116,11679660,387413,369662,149136,6551573,481408,
15736776,4057116,4057116,11679660,387413,369662,149136,6551573,481408,
15730376,4050716,4050716,11679660,387413,369662,149136,6551573,481408,
15730376,4050716,4050716,11679660,387413,369662,149136,6551573,481408,
15728880,4049220,4049220,11679660,387413,369662,149136,6551573,481408,
15730376,4050716,4050716,11679660,387413,369662,149136,6551573,481408,
15732680,4053164,4053164,11679516,387413,369662,149120,6551573,481392,
15730256,4050716,4050716,11679540,387413,369662,149120,6551573,481392,
15730256,4050716,4050716,11679540,387413,369662,149120,6551573,481392,
15724312,4044660,4044660,11679652,387413,369662,149120,6551573,481528,
15726608,4047100,4047100,11679508,387413,369662,149120,6551573,481384,
15729080,4049548,4049548,11679532,387413,369662,149120,6551573,481384,
15730360,4050716,4050716,11679644,387413,369662,149120,6551573,481384,
15730296,4050696,4050696,11679600,387413,369662,149120,6551573,481384,
15727856,4048256,4048256,11679600,387413,369662,149120,6551573,481384,
15730360,4050716,4050716,11679644,387413,369662,149120,6551573,481384,
15732784,4053164,4053164,11679620,387413,369662,149120,6551573,481384,
15730360,4050716,4050716,11679644,387413,369662,149120,6551573,481384,
15730360,4050716,4050716,11679644,387413,369662,149120,6551573,481384,
15693144,4014788,4014788,11678356,387413,369662,147856,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15697896,4019676,4019676,11678220,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15692984,4014788,4014788,11678196,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15697896,4019676,4019676,11678220,387413,369662,147696,6551573,481384,
15695272,4017208,4017208,11678064,387413,369662,147696,6551573,481384,
15695312,4017228,4017228,11678084,387413,369662,147696,6551573,481384,
15689392,4011172,4011172,11678220,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15697872,4019676,4019676,11678196,387413,369662,147696,6551573,481384,
15695384,4017208,4017208,11678176,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15693008,4014788,4014788,11678220,387413,369662,147696,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15697872,4019676,4019676,11678196,387413,369662,147696,6551573,481384,
15691832,4013612,4013612,11678220,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15689368,4011172,4011172,11678196,387413,369662,147696,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15697856,4019656,4019656,11678200,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15692984,4014788,4014788,11678196,387413,369662,147696,6551573,481384,
15695448,4017228,4017228,11678220,387413,369662,147696,6551573,481384,
15697896,4019676,4019676,11678220,387413,369662,147696,6551573,481384,
15695424,4017228,4017228,11678196,387413,369662,147696,6551573,481384,
15691808,4013612,4013612,11678196,387413,369662,147696,6551573,481384,
15689280,4011172,4011172,11678108,387413,369662,147696,6551573,481384,
15695336,4017228,4017228,11678108,387413,369662,147696,6551573,481384,
15704152,4026068,4026068,11678084,387413,369662,147696,6551573,481384,
15701704,4023620,4023620,11678084,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15699400,4021180,4021180,11678220,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15704264,4026068,4026068,11678196,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15699376,4021180,4021180,11678196,387413,369662,147696,6551573,481384,
15701704,4023620,4023620,11678084,387413,369662,147696,6551573,481384,
15704176,4026068,4026068,11678108,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15701824,4023628,4023628,11678196,387413,369662,147696,6551573,481384,
15699376,4021180,4021180,11678196,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15704288,4026068,4026068,11678220,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15699400,4021180,4021180,11678220,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15704152,4026068,4026068,11678084,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15699400,4021180,4021180,11678220,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15704264,4026068,4026068,11678196,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15699376,4021180,4021180,11678196,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15704288,4026068,4026068,11678220,387413,369662,147696,6551573,481384,
15701728,4023620,4023620,11678108,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15699376,4021180,4021180,11678196,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15704288,4026068,4026068,11678220,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15699400,4021180,4021180,11678220,387413,369662,147696,6551573,481384,
15701840,4023620,4023620,11678220,387413,369662,147696,6551573,481384,
15704264,4026068,4026068,11678196,387413,369662,147696,6551573,481384,
15701816,4023620,4023620,11678196,387413,369662,147696,6551573,481384,
15701736,4023628,4023628,11678108,387413,369662,147696,6551573,481384,
15699288,4021180,4021180,11678108,387413,369662,147696,6551573,481384,
15701704,4023620,4023620,11678084,387413,369662,147696,6551573,481384,
15704152,4026068,4026068,11678084,387413,369662,147696,6551573,481384,
15701728,4023620,4023620,11678108,387413,369662,147696,6551573,481384,
15701728,4023620,4023620,11678108,387413,369662,147696,6551573,481384,
15699264,4021180,4021180,11678084,387413,369662,147696,6551573,481384,
15701704,4023620,4023620,11678084,387413,369662,147696,6551573,481384,
15704176,4026068,4026068,11678108,387413,369662,147696,6551573,481384,
15701728,4023620,4023620,11678108,387413,369662,147696,6551573,481384,
15712056,4033972,4033972,11678084,387413,369662,147696,6551573,481384,
15709616,4031532,4031532,11678084,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15714528,4036420,4036420,11678108,387413,369662,147696,6551573,481384,
15712056,4033972,4033972,11678084,387413,369662,147696,6551573,481384,
15712056,4033972,4033972,11678084,387413,369662,147696,6551573,481384,
15709640,4031532,4031532,11678108,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15714504,4036420,4036420,11678084,387413,369662,147696,6551573,481384,
15712056,4033972,4033972,11678084,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15709640,4031532,4031532,11678108,387413,369662,147696,6551573,481384,
15712056,4033972,4033972,11678084,387413,369662,147696,6551573,481384,
15714504,4036420,4036420,11678084,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15709760,4031564,4031564,11678196,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15714640,4036420,4036420,11678220,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15709728,4031532,4031532,11678196,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15714640,4036420,4036420,11678220,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15709752,4031532,4031532,11678220,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15714616,4036420,4036420,11678196,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15709752,4031532,4031532,11678220,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15714616,4036420,4036420,11678196,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15712080,4033972,4033972,11678108,387413,369662,147696,6551573,481384,
15709728,4031532,4031532,11678196,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15714640,4036420,4036420,11678220,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15709728,4031532,4031532,11678196,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15714640,4036420,4036420,11678220,387413,369662,147696,6551573,481384,
15708552,4030356,4030356,11678196,387413,369662,147696,6551573,481384,
15712064,4033980,4033980,11678084,387413,369662,147696,6551573,481384,
15709640,4031532,4031532,11678108,387413,369662,147696,6551573,481384,
15712192,4033972,4033972,11678220,387413,369662,147696,6551573,481384,
15714616,4036420,4036420,11678196,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15712200,4033980,4033980,11678220,387413,369662,147696,6551573,481384,
15709752,4031532,4031532,11678220,387413,369662,147696,6551573,481384,
15712168,4033972,4033972,11678196,387413,369662,147696,6551573,481384,
15715552,4037356,4037356,11678196,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15710552,4032468,4032468,11678084,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15715576,4037356,4037356,11678220,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15710664,4032468,4032468,11678196,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15715576,4037356,4037356,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15713112,4034916,4034916,11678196,387413,369662,147696,6551573,481384,
15710688,4032468,4032468,11678220,387413,369662,147696,6551573,481384,
15709400,4031292,4031292,11678108,387413,369662,147696,6551573,481384,
15715552,4037356,4037356,11678196,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15710688,4032468,4032468,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15715552,4037356,4037356,11678196,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15710664,4032468,4032468,11678196,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15715464,4037356,4037356,11678108,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15710664,4032468,4032468,11678196,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15715576,4037356,4037356,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15710688,4032468,4032468,11678220,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15715552,4037356,4037356,11678196,387413,369662,147696,6551573,481384,
15712992,4034908,4034908,11678084,387413,369662,147696,6551573,481384,
15713128,4034908,4034908,11678220,387413,369662,147696,6551573,481384,
15710688,4032468,4032468,11678220,387413,369662,147696,6551573,481384,
15713104,4034908,4034908,11678196,387413,369662,147696,6551573,481384,
15715552,4037356,4037356,11678196,387413,369662,147696,6551573,481384,
